File hm/lorem1s (another copy).txt
R: 18 - C: 528
R: 18 - C: 537
R: 20 - C: 25
R: 20 - C: 32
R: 20 - C: 38
R: 20 - C: 47
R: 20 - C: 73
R: 20 - C: 90
R: 20 - C: 108
R: 20 - C: 117
R: 20 - C: 123
R: 20 - C: 130
R: 20 - C: 136
R: 20 - C: 150
R: 20 - C: 161
R: 20 - C: 166
R: 20 - C: 168
R: 20 - C: 178
R: 20 - C: 204
R: 20 - C: 217
R: 20 - C: 222
R: 20 - C: 237
R: 20 - C: 243
R: 20 - C: 256
R: 20 - C: 279
R: 20 - C: 296
R: 20 - C: 302
R: 20 - C: 317
R: 20 - C: 320
R: 20 - C: 348
R: 20 - C: 355
R: 20 - C: 368
R: 20 - C: 390
R: 20 - C: 394
R: 20 - C: 397
R: 20 - C: 400
R: 20 - C: 410
R: 20 - C: 428
R: 20 - C: 442
R: 20 - C: 461
R: 20 - C: 483
R: 20 - C: 501
R: 20 - C: 528
R: 20 - C: 545
R: 20 - C: 557
R: 20 - C: 560
R: 20 - C: 568
R: 20 - C: 622
R: 20 - C: 630
R: 20 - C: 674
R: 20 - C: 682
R: 20 - C: 735
R: 20 - C: 752
R: 20 - C: 755
R: 20 - C: 773
R: 20 - C: 806
R: 20 - C: 822
R: 20 - C: 849
R: 20 - C: 866
R: 20 - C: 884
R: 22 - C: 5
R: 22 - C: 27
R: 22 - C: 32
R: 22 - C: 40
R: 22 - C: 51
R: 22 - C: 56
R: 22 - C: 60
R: 22 - C: 63
R: 22 - C: 91
R: 22 - C: 103
R: 22 - C: 142
R: 22 - C: 159
R: 22 - C: 164
R: 22 - C: 168
R: 22 - C: 188
R: 22 - C: 252
R: 22 - C: 288
R: 22 - C: 293
R: 22 - C: 299
R: 22 - C: 306
R: 22 - C: 323
R: 22 - C: 350
R: 22 - C: 357
R: 22 - C: 380
R: 22 - C: 393
R: 22 - C: 406
R: 22 - C: 414
R: 22 - C: 424
R: 22 - C: 434
R: 22 - C: 438
R: 22 - C: 455
R: 22 - C: 477
R: 22 - C: 519
R: 22 - C: 535
R: 22 - C: 545
R: 22 - C: 553
R: 22 - C: 572
R: 24 - C: 1
R: 24 - C: 6
R: 24 - C: 11
R: 24 - C: 15
R: 24 - C: 24
R: 24 - C: 42
R: 24 - C: 49
R: 24 - C: 59
R: 24 - C: 76
R: 24 - C: 80
R: 24 - C: 122
R: 24 - C: 127
R: 24 - C: 129
R: 24 - C: 132
R: 24 - C: 137
R: 24 - C: 152
R: 24 - C: 157
R: 24 - C: 163
R: 24 - C: 168
R: 24 - C: 181
R: 24 - C: 244
R: 24 - C: 277
R: 24 - C: 288
R: 24 - C: 307
R: 24 - C: 349
R: 24 - C: 353
R: 24 - C: 376
R: 24 - C: 381
R: 24 - C: 449
R: 24 - C: 457
R: 24 - C: 470
R: 24 - C: 478
R: 24 - C: 510
R: 24 - C: 541
R: 24 - C: 545
R: 24 - C: 549
R: 24 - C: 565
R: 26 - C: 4
R: 26 - C: 23
R: 26 - C: 37
R: 26 - C: 61
R: 26 - C: 77
R: 26 - C: 84
R: 26 - C: 103
R: 26 - C: 106
R: 26 - C: 133
R: 26 - C: 163
R: 26 - C: 170
R: 26 - C: 185
R: 26 - C: 191
R: 26 - C: 194
R: 26 - C: 207
R: 26 - C: 233
R: 26 - C: 239
R: 26 - C: 258
R: 26 - C: 270
R: 26 - C: 285
R: 26 - C: 288
R: 26 - C: 291
R: 26 - C: 294
R: 26 - C: 299
R: 26 - C: 310
R: 26 - C: 313
R: 26 - C: 318
R: 26 - C: 322
R: 26 - C: 325
R: 26 - C: 340
R: 26 - C: 353
R: 26 - C: 392
R: 26 - C: 419
R: 26 - C: 473
R: 26 - C: 478
R: 28 - C: 4
R: 28 - C: 19
R: 28 - C: 21
R: 28 - C: 38
R: 28 - C: 59
R: 28 - C: 74
R: 28 - C: 80
R: 28 - C: 127
R: 28 - C: 136
R: 28 - C: 210
R: 28 - C: 215
R: 28 - C: 225
R: 28 - C: 236
R: 28 - C: 254
R: 28 - C: 260
R: 28 - C: 292
R: 28 - C: 296
R: 28 - C: 338
R: 28 - C: 343
R: 28 - C: 345
R: 28 - C: 348
R: 28 - C: 353
R: 28 - C: 368
R: 28 - C: 384
R: 28 - C: 387
R: 28 - C: 389
R: 28 - C: 394
R: 28 - C: 398
R: 28 - C: 405
R: 28 - C: 424
R: 30 - C: 38
R: 30 - C: 123
R: 30 - C: 139
R: 30 - C: 145
R: 30 - C: 168
R: 30 - C: 174
R: 30 - C: 188
R: 30 - C: 194
R: 30 - C: 198
R: 30 - C: 207
R: 30 - C: 227
R: 30 - C: 230
R: 30 - C: 242
R: 30 - C: 254
R: 30 - C: 276
R: 30 - C: 279
R: 30 - C: 284
R: 30 - C: 293
R: 30 - C: 297
R: 30 - C: 301
R: 30 - C: 322
R: 30 - C: 327
R: 30 - C: 332
R: 30 - C: 337
R: 30 - C: 345
R: 30 - C: 356
R: 30 - C: 385
R: 30 - C: 407
R: 30 - C: 418
R: 30 - C: 427
R: 30 - C: 471
R: 30 - C: 482
R: 30 - C: 486
R: 30 - C: 562
R: 30 - C: 577
R: 30 - C: 595
R: 30 - C: 604
R: 30 - C: 627
R: 30 - C: 631
R: 30 - C: 636
R: 30 - C: 638
R: 30 - C: 642
R: 30 - C: 661
R: 30 - C: 666
R: 30 - C: 696
R: 30 - C: 712
R: 30 - C: 720
R: 30 - C: 760
R: 30 - C: 765
R: 30 - C: 768
R: 30 - C: 782
R: 30 - C: 785
R: 32 - C: 14
R: 32 - C: 82
R: 32 - C: 85
R: 32 - C: 95
R: 32 - C: 100
R: 32 - C: 117
R: 32 - C: 134
R: 32 - C: 139
R: 32 - C: 146
R: 32 - C: 159
R: 32 - C: 172
R: 32 - C: 202
R: 32 - C: 250
R: 32 - C: 267
R: 32 - C: 275
R: 32 - C: 283
R: 32 - C: 300
R: 32 - C: 308
R: 32 - C: 327
R: 32 - C: 333
R: 32 - C: 338
R: 32 - C: 345
R: 32 - C: 371
R: 32 - C: 374
R: 32 - C: 469
R: 32 - C: 473
R: 32 - C: 481
R: 32 - C: 488
R: 32 - C: 522
R: 32 - C: 527
R: 32 - C: 548
R: 34 - C: 18
R: 34 - C: 22
R: 34 - C: 40
R: 34 - C: 56
R: 34 - C: 67
R: 34 - C: 76
R: 34 - C: 81
R: 34 - C: 85
R: 34 - C: 102
R: 34 - C: 115
R: 34 - C: 122
R: 34 - C: 141
R: 34 - C: 152
R: 34 - C: 178
R: 34 - C: 196
R: 34 - C: 232
